Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,MetroStation,popular
13,1,3,0,6,0,31.17381,121.4911,6,8,1890277,181,56,11,2,9,5,0,98,2,551,158,1,0
12,1,3,0,0,0,31.21938,121.41786,5,6,1891855,177,75,24,5,2,2,0,69,7,784,53,1,1
12,0,3,0,0,0,31.21972,121.46523,10,12,1891909,3,1,0,1,0,0,0,1,0,122,42,0,0
11,1,3,0,0,0,31.15625,121.22742,8,17,1891930,428,242,32,4,3,45,0,102,4,4353,2772,0,1
12,1,3,0,0,6.9,31.16601,121.34086,12,17,1897483,207,58,5,2,12,4,1,125,2,531,504,0,1
12,1,3,0,4.9,0,31.301,121.517,16,7,1900228,189,48,3,2,11,2,0,123,0,907,112,1,0
12,0,3,0,6.9,6.9,31.23709,121.48318,15,17,1900540,32,7,19,0,0,0,2,4,6,78,19,1,0
12,1,2,0,0,0,31.19335,121.43971,7,1,1900957,362,30,125,13,36,1,46,111,29,2357,796,1,1
11,1,3,0,0,0,31.195,121.44,7,1,1914997,163,67,1,0,9,13,0,73,0,1114,195,1,1
12,1,3,0,0,0,31.27409,121.513,16,17,1931407,200,71,1,3,10,8,2,105,0,555,225,1,0
13,1,2,5.9,0,0,31.2302,121.47593,15,11,1943458,187,70,35,5,14,3,1,59,12,901,135,1,0
12,1,3,0,0,6.9,31.29906,121.51557,16,7,1953316,385,108,10,6,5,1,3,252,1,585,145,1,1
11,1,3,0,7,6.9,31.18782,121.44238,7,1,1954666,94,9,22,3,6,2,2,50,4,288,142,1,1
12,1,2,0,0,0,31.27356,121.45357,3,17,1962364,276,81,56,11,21,16,2,89,19,2417,1726,1,1
12,1,3,0,0,0,31.27227,121.41452,2,17,1963210,0,0,0,0,0,0,0,0,0,35,0,0,0
12,1,1,0,0,0,31.23067,121.42727,11,17,1969279,148,6,26,8,2,1,0,105,6,371,314,1,1
11,1,2,0,0,0,31.24589,121.38313,4,17,2007937,661,156,157,23,14,38,10,263,43,1037,708,0,1
12,1,3,0,0,0,31.18266,121.37261,6,17,2017483,148,64,2,0,10,13,1,58,0,123,44,0,0
10,1,3,7,0,0,31.24734,121.45346,3,17,2024674,0,0,0,0,0,0,0,0,0,75,0,0,0
12,1,3,0,0,0,31.30071,121.51456,16,7,2026969,246,122,3,2,25,2,0,92,0,2646,1030,1,1
24,0,1,0,0,0,31.22522,121.48087,15,12,2028085,0,0,0,0,0,0,0,0,0,5,0,1,0
12,1,2,0,0,0,31.30032,121.5139,16,7,2034124,559,115,133,14,30,55,4,208,20,2237,1176,1,1
12,1,3,7,0,0,31.30154,121.51567,16,7,2034439,492,172,79,18,20,7,14,182,14,2324,609,1,1
12,1,2,0,0,0,31.27115,121.58726,6,2,2036953,426,92,54,6,19,10,5,240,11,871,791,1,1
11,1,2,7,0,0,31.19314,121.44101,7,1,2046061,123,34,32,1,5,0,1,50,0,437,83,1,0
10,1,2,0,0,8,31.03845,121.21959,17,17,2047408,144,44,49,9,1,4,4,33,16,336,128,0,1
12,1,3,0,0,0,31.24511,121.3833,4,17,2049670,78,34,12,3,4,2,0,23,3,132,52,0,0
12,1,3,0,0,0,31.40337,121.48236,2,17,2052682,121,33,3,1,11,7,1,65,1,246,167,0,0
12,1,3,0,0,0,31.23219,121.39879,4,17,2055463,84,18,1,1,1,2,0,61,0,192,78,0,0
11,1,3,0,0,0,30.71344,121.33943,14,17,2067982,88,28,4,0,10,0,0,46,1,48,30,0,0
24,0,1,6.9,6.9,0,31.22487,121.47988,10,12,2072443,0,0,0,0,0,0,0,0,0,2,0,1,0
12,1,3,0,0,6.9,31.22681,121.5597,6,10,2074735,194,30,58,21,10,4,2,69,12,864,1233,0,1
12,1,1,0,0,0,31.13306,121.37255,12,5,2098891,51,1,13,8,0,0,0,29,2,20,26,0,0
12,1,3,0,0,0,31.24735,121.4565,3,17,2099200,99,1,2,0,3,0,0,93,2,197,115,1,0
15,1,3,0,0,0,31.16463,121.34215,12,17,2103232,247,43,80,9,12,10,6,87,26,277,161,0,1
11,1,3,0,0,0,31.22236,121.44607,11,3,2118661,99,45,5,3,2,2,0,42,1,559,99,1,0
3,0,2,0,0,0,31.23972,121.42132,4,17,2118709,37,1,8,3,0,0,0,25,1,22,7,1,0
2,1,1,0,0,5.9,31.218,121.419,5,6,2118763,102,5,58,7,0,1,6,25,9,209,89,1,0
12,1,3,0,7.9,0,31.22218,121.47295,10,17,2132053,41,9,5,2,0,0,0,25,0,167,170,1,0
12,1,1,0,0,0,31.22191,121.47203,10,17,2135332,40,4,12,0,1,0,0,23,4,145,28,1,0
10,1,1,0,0,0,31.13941,121.42211,7,17,2189869,75,6,18,4,0,0,1,46,1,231,159,0,0
12,1,1,0,0,0,31.18525,121.44285,7,17,2191807,154,18,76,7,4,3,0,46,28,876,594,1,1
12,1,2,0,0,0,31.14909,121.11294,8,17,2201872,39,11,18,4,0,0,0,6,7,64,26,0,0
12,1,3,6.9,7,0,31.148,121.112,8,17,2202448,190,42,6,1,6,3,0,132,1,59,43,0,0
15,1,2,0,0,0,31.15555,121.34904,12,17,2215822,295,68,69,4,18,5,1,130,14,688,424,1,1
12,1,3,0,0,7,31.20827,121.52027,6,17,2243599,348,121,44,1,28,18,0,136,14,1282,1686,1,1
11,1,3,0,6.9,0,31.17207,121.50742,6,8,2294848,116,48,5,4,2,3,0,54,0,278,284,1,1
12,1,1,0,7,0,31.09776,121.41337,12,17,2379265,92,7,22,13,1,1,0,48,8,48,62,0,0
12,1,2,0,0,0,31.23235,121.3783,4,17,2397691,0,0,0,0,0,0,0,0,0,422,0,1,0
14,1,2,0,0,0,31.22706,121.48002,15,11,2401615,43,1,26,1,1,0,0,14,9,262,281,1,1
12,1,3,0,0,0,31.00699,121.23542,17,17,2406151,103,49,2,0,2,4,0,46,0,45,18,0,0
23,0,3,0,0,0,31.25767,121.4826,22,17,2409289,0,0,0,0,0,0,0,0,0,234,106,1,0
12,1,3,0,8,0,31.10805,121.38776,12,5,2430175,568,196,97,16,26,61,6,166,34,1032,1113,1,1
12,1,3,0,0,0,31.19529,121.69773,6,17,2430982,191,37,29,3,15,3,2,102,8,121,95,0,0
12,0,3,0,0,0,31.71665,121.51464,18,17,2442619,0,0,0,0,0,0,0,0,0,2,0,0,0
11,1,1,0,6.9,0,31.23002,121.46161,11,16,2454727,47,6,20,0,8,0,0,13,6,344,113,1,1
11,1,3,0,0,0,31.38054,121.24843,1,17,2471101,187,69,1,1,10,5,2,99,0,145,52,0,0
0,0,3,0,0,7,31.22907,121.45849,11,16,2477953,0,0,0,0,0,0,0,0,0,21,0,1,0
12,1,2,0,0,8,31.22013,121.50524,15,17,2487919,71,1,36,19,0,0,0,15,7,926,1115,0,1
11,1,2,0,0,0,31.295,121.475,9,17,2489752,0,0,0,0,0,0,0,0,0,22,0,0,0
15,1,3,0,0,0,31.13,121.4,12,17,2492896,352,111,27,10,29,31,7,137,7,339,259,1,1
11,1,3,7,6.9,0,31.21138,121.40486,5,17,2497792,346,207,48,4,7,10,0,70,13,530,381,1,1
11,1,3,7,0,6.9,30.9161,121.48383,13,17,2503993,205,68,31,3,12,10,2,79,7,66,33,0,0
2,0,1,0,0,0,31.21804,121.41462,5,6,2509408,33,0,0,1,0,0,1,31,0,29,40,1,0
13,1,2,0,0,0,31.26335,121.49606,9,17,2510806,30,8,9,2,0,0,0,11,1,175,276,1,0
2,1,1,6,0,6,31.21024,121.40717,5,17,2515672,0,0,0,0,0,0,0,0,0,120,0,1,0
12,1,3,0,0,0,31.15796,121.34626,12,17,2525314,74,9,26,4,3,1,1,30,2,58,8,1,0
11,1,3,0,0,0,30.727,121.336,14,17,2533747,135,54,3,2,13,4,0,59,0,47,40,0,0
12,1,0,0,0,0,31.26648,121.50773,16,17,2550991,49,3,18,6,0,1,0,21,11,169,182,0,1
13,1,3,0,0,0,31.38458,121.24797,1,17,2562874,0,0,0,0,0,0,0,0,0,78,0,0,0
12,1,1,0,0,0,31.21183,121.40214,5,17,2563321,72,2,37,10,0,0,2,21,18,177,115,1,1
13,1,2,6.9,0,0,31.25755,121.4826,9,17,2566855,85,9,6,5,0,33,0,32,3,78,30,1,0
13,1,2,0,0,0,31.22776,121.49109,15,17,2572123,143,8,41,7,0,1,0,86,2,111,72,1,0
13,0,2,0,0,0,31.2695,121.49918,9,17,2575657,0,0,0,0,0,0,0,0,0,3,14,1,0
12,1,3,0,0,6.9,31.27065,121.41169,2,17,2580211,335,92,52,2,16,9,0,164,12,419,531,0,1
13,0,3,0,0,0,31.10644,121.37857,12,17,2600923,32,2,6,3,0,0,1,20,1,8,6,0,0
3,1,3,0,0,0,31.37204,121.49415,2,17,2616835,0,0,0,0,0,0,0,0,0,42,0,1,0
12,1,3,0,0,0,31.10727,121.38756,12,5,2642347,64,30,1,0,11,2,0,20,1,1233,532,1,1
12,1,1,0,0,5.9,31.20011,121.58526,6,9,2648551,110,5,87,7,1,0,0,10,21,141,114,1,0
14,1,3,0,0,0,31.00659,121.22833,17,17,2660584,0,0,0,0,0,0,0,0,0,20,0,0,0
11,1,2,0,6.9,0,31.3845,121.2455,1,17,2665228,166,19,55,8,8,4,2,70,14,141,102,0,1
12,1,3,0,0,6.9,31.00702,121.23402,17,17,2696410,129,54,5,4,18,3,1,44,1,32,40,0,0
1,0,3,0,0,0,31.3351,121.45031,2,17,2702500,0,0,0,0,0,0,0,0,0,12,0,0,0
13,1,2,0,0,0,31.22667,121.55922,6,10,2726125,151,22,37,7,5,11,1,68,10,268,379,0,1
13,1,3,0,0,0,31.21869,121.46425,15,17,2737180,140,25,14,4,2,2,2,91,6,241,152,0,1
12,0,3,0,0,0,31.53774,121.62019,18,17,2781250,0,0,0,0,0,0,0,0,0,9,0,0,0
13,1,2,0,0,0,31.22751,121.52488,6,4,2801842,196,37,50,8,10,43,1,47,18,1502,1389,1,1
12,1,3,0,7,0,31.22756,121.51567,6,4,2805781,74,13,13,3,2,2,0,41,5,147,65,1,0
11,1,3,0,0,6.9,31.24279,121.44139,4,17,2812114,161,32,43,5,2,8,0,71,16,1122,1336,1,1
12,1,2,0,7,0,31.39448,121.4876,2,17,2847331,96,19,17,8,3,0,2,47,1,59,101,0,0
2,0,1,0,0,0,31.2099,121.39141,5,17,2875534,41,31,0,0,0,1,0,9,0,37,25,0,0
2,0,1,7,7,7,31.19433,121.39365,5,17,2905525,0,0,0,0,0,0,0,0,0,12,0,0,0
13,1,3,0,0,0,31.23115,121.55446,6,10,2906878,89,11,29,0,4,3,0,42,10,81,145,0,1
13,1,1,6.9,0,0,31.26078,121.34322,1,17,2943610,0,0,0,0,0,0,0,0,1,6,19,0,0
12,1,2,0,0,0,31.22246,121.49009,15,17,2945917,104,12,26,5,0,1,1,59,12,114,98,0,1
12,1,3,0,0,0,31.21998,121.4599,10,12,2953219,4,0,2,1,0,0,0,1,0,47,31,0,0
12,1,1,0,0,0,31.26981,121.41472,2,17,2955946,150,9,44,15,5,9,2,66,17,251,562,0,1
23,1,3,7,0,6.9,31.25954,121.48096,9,17,2985904,73,12,27,7,1,2,0,24,8,302,252,1,1
12,1,3,8,0,0,31.25664,121.57856,6,17,3002854,260,67,46,11,7,23,6,100,17,1480,2375,1,1
12,1,2,0,9,0,31.19921,121.40097,5,17,3010942,171,43,34,4,10,18,0,62,9,1087,1108,1,1
9,1,2,0,0,0,31.142,121.116,8,17,3037465,62,14,1,0,0,0,0,47,0,16,5,0,0
13,1,3,0,7.9,0,31.30024,121.51387,6,17,3099376,633,140,129,22,16,21,7,298,38,743,870,0,1
10,1,1,0,0,0,31.11383,121.56873,6,17,3099385,0,0,0,0,0,0,0,0,0,112,0,0,0
23,1,3,0,8,0,31.27069,121.4786,9,17,3099445,548,176,129,11,27,27,8,170,52,2257,4089,1,1
13,0,3,0,0,0,31.01249,121.4138,12,17,3115084,0,0,0,0,0,0,0,0,0,18,0,1,0
12,1,1,7,6.9,0,31.25371,121.46446,3,17,3188770,55,9,20,3,3,0,0,20,4,164,208,1,0
12,1,3,0,0,0,31.22419,121.47563,10,12,3193054,33,5,5,2,0,0,1,20,1,88,132,1,0
24,0,1,0,0,0,31.22448,121.47704,15,12,3194140,0,0,0,0,0,0,0,0,0,8,0,1,0
11,1,1,0,8,0,31.22945,121.42855,11,17,3216226,143,28,46,7,3,6,4,49,14,870,1276,0,1
12,1,1,0,0,0,31.2973,121.50827,16,7,3220381,52,0,21,6,0,0,1,24,9,156,69,0,0
12,1,3,9,0,0,31.20593,121.40774,5,15,3224227,166,34,66,8,4,4,3,47,7,525,314,0,1
8,1,2,0,0,0,31.22597,121.49106,15,17,3270334,49,9,0,0,1,0,0,39,0,23,9,1,0
12,1,2,0,0,0,31.22246,121.38111,4,17,3307744,44,0,9,1,0,0,0,34,0,8,17,0,0
12,1,3,0,0,0,31.04676,121.76012,6,17,3330742,102,24,4,3,9,2,1,59,0,31,36,0,0
17,0,2,0,0,0,31.25032,121.58124,6,17,3335131,43,18,2,1,1,1,0,20,0,18,13,0,0
24,0,1,0,0,0,31.24692,121.45352,3,17,3340225,0,0,0,0,0,0,0,0,0,24,0,1,0
9,0,2,0,0,0,31.15738,121.42533,7,17,3360868,0,0,0,0,0,0,0,0,0,10,0,0,0
3,1,2,0,0,0,31.23941,121.42269,4,17,3362827,0,0,0,0,0,0,0,0,0,10,0,1,0
0,0,1,0,0,0,31.18302,121.55507,6,17,3373063,0,0,0,0,0,0,0,0,0,8,0,0,0
2,1,1,0,0,6.9,31.179,121.38751,12,13,3380287,72,1,19,16,0,0,0,36,5,21,13,0,0
10,0,2,0,0,0,31.18697,121.42908,7,17,3447019,0,0,0,0,0,0,0,0,0,3,12,1,0
8,0,2,0,0,0,31.26237,121.43747,4,17,3450250,0,0,0,0,0,0,0,0,0,9,0,0,0
11,1,3,7,0,7,31.23099,121.46093,11,16,3452119,62,6,22,4,0,3,1,26,12,551,423,1,1
11,0,3,0,0,0,30.716,121.339,14,17,3469177,0,0,0,0,0,0,0,0,0,16,0,0,0
0,1,2,0,0,0,31.234,121.472,15,11,3473536,0,0,0,0,0,0,0,0,0,13,14,1,0
12,1,3,0,0,0,31.23747,121.42369,4,17,3481657,228,58,54,7,9,5,3,92,17,1107,1682,0,1
12,0,1,6.9,0,7,31.21896,121.47417,10,17,3486541,0,0,0,0,0,0,0,0,0,15,0,1,0
0,0,3,6.9,6.9,6.9,31.22345,121.44495,11,3,3488656,0,0,0,0,0,0,0,0,0,7,0,1,0
12,1,1,0,0,0,31.26648,121.46606,3,17,3493654,91,5,12,10,1,0,0,63,1,70,89,1,0
0,0,3,6.9,6.9,0,31.22931,121.4588,11,16,3499261,0,0,0,0,0,0,0,0,0,1,0,1,0
17,0,0,0,0,0,31.33974,121.48032,2,17,3504772,79,1,11,8,0,1,1,57,3,9,33,0,0
17,1,2,7,0,6.9,31.16359,121.53778,6,17,3519589,56,4,8,2,0,3,0,39,0,41,107,0,0
11,1,3,0,0,0,30.91601,121.48378,13,17,3539194,388,90,76,12,17,29,2,162,22,153,237,0,1
12,1,3,0,7.9,0,31.24065,121.32429,1,17,3560026,623,126,175,25,14,15,12,256,53,610,1087,1,1
2,0,3,0,0,0,31.205,121.405,5,15,3561832,45,1,8,2,0,0,0,34,0,32,61,0,0
13,1,2,6.9,0,0,31.22939,121.47868,15,11,3568453,0,0,0,0,0,0,0,0,0,50,88,1,0
12,1,3,0,0,0,31.22525,121.48084,10,12,3580240,87,0,9,8,0,1,8,61,5,155,106,1,0
12,1,1,6.9,6.9,0,31.20465,121.47058,10,17,3642736,34,0,14,4,0,0,0,16,4,82,68,1,1
12,1,3,6.9,7,6.9,31.22576,121.47914,10,12,3645145,17,1,5,3,0,0,0,8,0,63,72,1,0
14,0,1,0,6.9,0,31.21902,121.42292,5,6,3651601,0,0,0,0,0,0,0,0,0,5,0,0,0
11,1,3,6.9,6.9,6.9,31.14669,121.31619,17,17,3656833,0,0,0,0,0,0,0,0,0,4,15,0,0
10,0,3,7,6.9,7,31.24582,121.44986,4,17,3656860,0,0,0,0,0,0,0,0,0,3,0,0,0
15,1,1,0,0,7,31.29333,121.61082,6,17,3663679,115,14,51,7,2,4,1,36,12,140,312,0,1
10,0,3,0,0,0,31.2424,121.47249,3,17,3664051,0,0,0,0,0,0,0,0,0,0,0,1,0
12,1,3,0,0,0,31.27373,121.50192,9,17,3673291,0,0,0,0,0,0,0,0,0,42,0,1,0
2,0,2,0,6.9,6.9,31.20636,121.40074,5,15,3681097,56,1,8,4,0,0,0,43,2,13,31,0,0
12,0,3,0,7,7,31.22542,121.45631,11,16,3884419,0,0,0,0,0,0,0,0,0,7,0,0,0
0,0,3,0,0,0,31.22957,121.45849,11,16,3884434,0,0,0,0,0,0,0,0,0,11,0,1,0
12,0,3,0,0,0,31.34109,121.59188,6,17,3894586,3,1,1,0,0,0,0,1,0,17,46,0,0
11,1,3,7,7,6.9,30.94,121.48,13,17,3897607,0,0,0,0,0,0,0,0,0,4,0,0,0
10,1,3,7,0,6.9,31.34322,121.57948,6,17,3899059,0,0,0,0,0,0,0,0,0,28,0,0,0
12,1,3,0,0,0,31.22831,121.51873,6,4,3920602,61,0,37,1,0,0,0,23,5,13,17,1,0
12,1,2,0,8,0,31.20597,121.46857,10,17,3992830,481,94,219,16,8,4,19,121,73,3425,3482,1,1
6,1,1,0,6.9,6.9,31.18435,121.69848,6,17,4015006,115,5,36,10,1,1,1,61,10,65,90,1,1
12,1,3,0,0,0,31.1328,121.40235,12,17,4041379,221,39,56,3,7,5,2,109,23,351,570,1,1
13,1,3,0,0,0,31.17902,121.53571,6,8,4062589,308,70,77,2,11,18,2,128,19,452,1093,0,1
10,1,2,0,0,0,31.18811,121.49323,6,8,4064977,0,0,0,0,0,0,0,0,0,2261,0,1,0
12,1,1,0,0,0,31.22777,121.5195,6,4,4069303,0,0,0,0,0,0,0,0,0,12,0,1,0
12,0,0,0,0,0,31.23595,121.50305,6,14,4074148,300,69,86,11,22,8,4,100,9,101,64,1,1
16,0,2,6.9,6.9,0,31.2132,121.45025,7,17,4087957,0,0,0,0,0,0,0,0,0,2,0,1,0
12,1,3,6.9,0,0,31.30173,121.51549,16,7,4103328,296,120,50,12,11,5,11,87,10,145,84,1,0
12,1,2,0,0,0,31.13991,121.51405,6,17,4103553,189,43,44,15,5,4,3,75,20,271,421,0,1
17,1,0,0,0,6.9,31.31524,121.38602,2,17,4108303,66,0,52,6,0,1,0,7,14,46,58,0,0
5,1,3,0,0,0,31.41927,121.42867,2,17,4113192,0,0,0,0,0,0,0,0,0,28,0,0,0
15,1,1,0,0,0,31.17651,121.37119,12,17,4120617,121,11,32,12,1,3,1,61,11,140,146,1,1
17,0,3,0,7,7,30.88112,121.90202,6,17,4128971,139,0,108,8,0,0,2,21,13,8,22,0,0
17,1,3,7,6.9,7,31.149,121.493,6,17,4169616,102,15,18,5,3,1,1,59,4,17,55,1,0
12,1,1,0,0,0,31.222,121.545,6,17,4172884,0,0,0,0,0,0,0,0,0,8,0,1,0
11,0,0,6.9,6.9,6.9,31.04961,121.20546,17,17,4185252,48,2,29,6,0,0,0,11,3,19,19,0,0
12,0,3,0,0,0,31.28161,121.50605,16,17,4194414,0,0,0,0,0,0,0,0,0,4,0,1,0
12,1,1,0,7,0,31.13288,121.40195,12,17,4198110,139,0,50,8,3,0,1,77,18,36,52,1,0
10,0,3,0,0,0,31.23071,121.4692,15,11,4201333,37,0,13,2,0,0,0,22,1,2,12,0,0
12,0,2,6.9,6.9,0,31.28172,121.35038,4,17,4209863,78,14,15,5,2,1,1,40,4,31,108,1,0
11,1,2,0,0,0,31.26215,121.48361,9,17,4221868,0,0,0,0,0,0,0,0,0,10,0,1,0
12,1,2,7.9,8,0,31.18387,121.42903,7,17,4222366,252,27,104,9,4,8,1,99,45,858,1251,1,1
11,1,3,0,0,8,31.22909,121.45702,11,16,4224981,318,76,41,8,32,23,1,137,9,437,372,1,1
12,1,3,0,0,7,31.20199,121.40065,5,15,4230572,95,18,22,7,0,1,0,47,0,205,720,1,1
2,1,2,0,0,0,31.21719,121.37321,5,17,4230903,56,5,28,3,0,0,0,20,8,51,47,1,0
13,0,3,6.9,6.9,6.9,31.14473,121.40473,12,17,4278741,0,0,0,0,0,0,0,0,0,1,0,0,0
16,0,2,6.9,6.9,6.9,31.14737,121.42766,7,17,4279044,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1,1,7.9,0,0,30.73041,121.34834,14,17,4285243,22,7,3,1,3,0,0,8,1,62,23,0,0
